date,close,volume,open,high,low
3/15/2018,1582.32,4057694,1595,1596.91,1578.11
3/14/2018,1591,4236655,1597,1606.444,1590.89
3/13/2018,1588.18,6514336,1615.96,1617.54,1578.01
3/12/2018,1598.39,5146149,1592.6,1605.33,1586.7
3/9/2018,1578.89,4508650,1563.5,1578.94,1559.08
3/8/2018,1551.86,3882904,1550,1554.88,1545.25
3/7/2018,1545,4164829,1526.52,1545.9,1522.51
3/6/2018,1537.64,4433105,1533.2,1542.13,1528
3/5/2018,1523.61,5192119,1494.24,1525.38,1481
3/2/2018,1500.25,6573973,1469.1,1501.05,1455.0101
3/1/2018,1493.45,6820462,1513.6,1518.49,1465
2/28/2018,1512.45,4498688,1519.51,1528.7,1512
2/27/2018,1511.98,4791167,1524.5,1526.78,1507.21
2/26/2018,1521.95,4944679,1509.2,1522.84,1507
2/23/2018,1500,4395443,1495.34,1500,1486.5
2/22/2018,1485.34,4806267,1495.36,1502.54,1475.76
2/21/2018,1482.92,6270085,1485,1503.49,1478.92
2/20/2018,1468.35,6473520,1446.49,1488.77,1446.49
2/16/2018,1448.69,4464048,1457.37,1465.8,1446.56
2/15/2018,1461.76,5634873,1466.89,1468.94,1436.8367
2/14/2018,1451.05,5940392,1406.25,1452.06,1403.36
2/13/2018,1414.51,5880823,1385.93,1419.72,1383.53
2/12/2018,1386.23,6718037,1364.67,1393.81,1344.01
2/9/2018,1339.6,14128670,1373.49,1383.5,1265.93
2/8/2018,1350.5,8496355,1429.675,1433.7522,1349.94
2/7/2018,1416.78,7126128,1449,1460.99,1415.15
2/6/2018,1442.84,10937550,1361.46,1443.99,1351.79
2/5/2018,1390,11422520,1402.62,1458.98,1320.72
2/2/2018,1429.95,11014340,1477.39,1498,1414
2/1/2018,1390,8985040,1445,1459.8799,1385.1419
1/31/2018,1450.89,6386185,1451.3,1472.58,1450.04
1/30/2018,1437.82,5802415,1403.17,1439.25,1392
1/29/2018,1417.68,5690168,1409.18,1431.39,1400.44
1/26/2018,1402.05,4825682,1392.01,1402.53,1380.91
1/25/2018,1377.95,4741473,1368,1378.34,1357.62
1/24/2018,1357.51,6781297,1374.82,1388.16,1338
1/23/2018,1362.54,5130673,1338.09,1364.9,1337.34
1/22/2018,1327.31,4126235,1297.17,1327.45,1296.6636
1/19/2018,1294.58,4455108,1312,1313,1292.99
1/18/2018,1293.32,4021640,1293.95,1304.6,1284.02
1/17/2018,1295,5240634,1312.24,1314,1280.88
1/16/2018,1304.86,7155026,1323,1339.94,1292.3
1/12/2018,1305.2,5434547,1273.3925,1305.76,1273.3925
1/11/2018,1276.68,3104031,1259.74,1276.77,1256.46
1/10/2018,1254.33,2679832,1245.15,1254.33,1237.23
1/9/2018,1252.7,3657243,1256.9,1259.33,1241.76
1/8/2018,1246.87,4270121,1236,1253.079,1232.03
1/5/2018,1229.14,3536299,1217.51,1229.14,1210
1/4/2018,1209.59,3015997,1205,1215.8699,1204.66
1/3/2018,1204.2,3094175,1188.3,1205.49,1188.3
1/2/2018,1189.01,2673958,1172,1190,1170.51
12/29/2017,1169.47,2678122,1182.35,1184,1167.5
12/28/2017,1186.1,1838549,1189,1190.1,1184.38
12/27/2017,1182.26,1866171,1179.91,1187.29,1175.61
12/26/2017,1176.76,1988906,1168.36,1178.32,1160.55
12/22/2017,1168.36,1575845,1172.08,1174.6199,1167.8301
12/21/2017,1174.76,2055103,1175.9,1179.17,1167.64
12/20/2017,1177.62,2364984,1190.5,1191,1176
12/19/2017,1187.38,2574578,1189.15,1192.97,1179.1401
12/18/2017,1190.58,2943252,1187.37,1194.78,1180.91
12/15/2017,1179.14,4775009,1179.03,1182.75,1169.33
12/14/2017,1174.26,3120265,1163.71,1177.93,1162.45
12/13/2017,1164.13,2588740,1170,1170.87,1160.27
12/12/2017,1165.08,2208812,1166.51,1173.6,1161.61
12/11/2017,1168.92,2360068,1164.6,1169.9,1157
12/8/2017,1162,2979278,1170.4,1172.79,1157.1
12/7/2017,1159.79,2508813,1156.59,1163.19,1151
12/6/2017,1152.35,2777524,1137.99,1155.89,1136.08
12/5/2017,1141.57,4074846,1128.26,1159.27,1124.74
12/4/2017,1133.95,5926970,1173.85,1175.2,1128
12/1/2017,1162.35,4101175,1172.05,1179.65,1152
11/30/2017,1176.75,4472454,1167.1,1178.5701,1160
11/29/2017,1161.27,9242181,1194.8,1194.8,1145.19
11/28/2017,1193.6,4548064,1204.88,1205.34,1188.521
11/27/2017,1195.83,6718385,1202.66,1213.41,1191.15
11/24/2017,1186,3528011,1160.7,1186.84,1160.7
11/22/2017,1156.16,3549453,1141,1160.27,1141
11/21/2017,1139.49,2461416,1132.86,1140,1128.2
11/20/2017,1126.31,2146183,1129.77,1133.42,1122.55
11/17/2017,1129.88,2360174,1138.28,1138.8,1125.8101
11/16/2017,1137.29,2210454,1130.16,1138.16,1130.05
11/15/2017,1126.69,3917182,1127.01,1131.75,1121.63
11/14/2017,1136.84,3136307,1130.11,1138,1123.89
11/13/2017,1129.17,2913376,1123,1139.9,1122.34
11/10/2017,1125.35,2178670,1126.1,1131.75,1124.06
11/9/2017,1129.13,3729458,1125.96,1129.6209,1115.77
11/8/2017,1132.88,2575956,1122.82,1135.54,1119.11
11/7/2017,1123.17,2684125,1124.74,1130.6,1117.5
11/6/2017,1120.66,3331032,1109.15,1125.41,1108.77
11/3/2017,1111.6,3739141,1091.15,1112.68,1088.52
11/2/2017,1094.22,3683447,1097.81,1101.935,1086.8691
11/1/2017,1103.68,3743189,1105.4,1108.97,1096.74
10/31/2017,1105.28,3474886,1109,1110.54,1101.1201
10/30/2017,1110.85,6608244,1095.01,1122.79,1093.56
10/27/2017,1100.95,16547950,1058.14,1105.58,1050.55
10/26/2017,972.43,5392856,980.33,982.9,968.55
10/25/2017,972.91,3029395,978,984.44,966.24
10/24/2017,975.9,2713262,969,979.85,965
10/23/2017,966.3,3482123,986.73,986.775,962.5
10/20/2017,982.91,2343556,993.53,994.62,982
10/19/2017,986.61,3084459,990,991.05,980.24
10/18/2017,997,2496848,1009.27,1022.31,996.55
10/17/2017,1009.13,2318762,1005.59,1011.4699,1004.38
10/16/2017,1006.34,2004816,1008.44,1009.5717,1001.04
10/13/2017,1002.94,2429175,1007,1007.77,1001.03
10/12/2017,1000.93,4083076,996.81,1008.44,992.4
10/11/2017,995,2335062,991.27,995.5,986.695
10/10/2017,987.2,3082929,996.67,997.95,980.099
10/9/2017,990.99,2936073,993.24,998.5,987.5
10/6/2017,989.58,3747408,975.64,995.75,975.64
10/5/2017,980.85,3220080,970,981.51,969.64
10/4/2017,965.45,2518509,954.21,967.79,954.05
10/3/2017,957.1,2664290,958,963.69,950.37
10/2/2017,959.19,2425585,964,967.305,952.1201
9/29/2017,961.35,2509194,960.11,964.83,958.375
9/28/2017,956.4,2521285,951.86,959.7,950.101
9/27/2017,950.87,3145310,948,955.3,943.3
9/26/2017,938.6,3504345,945.49,948.63,931.75
9/25/2017,939.79,5115097,949.31,949.42,932.89
9/22/2017,955.1,2629433,961.01,965.61,954.42
9/21/2017,964.65,2276374,971.31,971.7,962.02
9/20/2017,973.21,2752256,971.79,974.81,962.1626
9/19/2017,969.86,2629721,977.25,978.24,967.46
9/18/2017,974.19,3400701,990.4,992.7922,968.17
9/15/2017,986.79,3749512,993.01,996.25,984.03
9/14/2017,992.21,3899558,996.8,998.56,987.74
9/13/2017,999.6,3360247,983.97,1000,979.42
9/12/2017,982.58,2475557,983.27,984.6718,975.517
9/11/2017,977.96,2171998,974.46,981.94,974.22
9/8/2017,965.9,2589038,979.1,979.88,963.47
9/7/2017,979.47,2562517,974,980.59,972.55
9/6/2017,967.8,2125371,968.32,971.84,960.6
9/5/2017,965.27,2996501,975.4,976.7699,960.37
9/1/2017,978.25,2533779,984.2,984.5,976.875
8/31/2017,980.6,3314687,974.7,981,972.76
8/30/2017,967.59,2897969,958.44,969.41,956.9062
